blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
711.7610474,9.076568676E-005,711.7610474,-0.001349923899,
711.510498,0.0001347314828,711.510498,-0.002123661339,
711.2599487,-0.0002629218216,711.2599487,-0.002730290405,
711.0094604,-0.000622938911,711.0094604,-0.002573604695,
710.7587891,0.0001198944665,710.7587891,-0.002304817317,
710.5083008,0.0001514075266,710.5083008,8.283518014E-007,
710.2576904,-0.0004134091723,710.2576904,-0.002675546799,
710.007019,-0.0009443798335,710.007019,-0.00134197576,
709.7563477,0.0005661066389,709.7563477,-0.001885164063,
709.5056763,-0.0003234023752,709.5056763,-0.001183084329,
709.2549438,-0.0001207153764,709.2549438,-0.0005510214251,
709.0042114,-9.215306818E-006,709.0042114,-0.002461342607,
708.753479,-0.0001419354521,708.753479,-0.001506639062,
708.5027466,-0.0001296693372,708.5027466,-0.001843820908,
708.2520142,5.643507757E-005,708.2520142,0.0001646918681,
708.0011597,0.0001577777439,708.0011597,-0.0002565059403,
707.7503662,0.0004764077021,707.7503662,-0.0001270297507,
707.4995117,-9.442174633E-005,707.4995117,-0.001728121424,
707.2486572,-0.0009545049397,707.2486572,-0.001835366129,
706.9977417,2.345331995E-005,706.9977417,0.0002929208276,
706.7468262,0.0002578489948,706.7468262,-0.0007669965853,
706.4958496,-0.0006455302355,706.4958496,-0.001259904588,
706.244873,-0.0002027433511,706.244873,-0.002601395361,
705.9939575,-7.180173998E-005,705.9939575,-0.002053949982,
705.742981,-0.0001619124378,705.742981,-0.0008110261988,
705.4919434,0.0004275877727,705.4919434,-0.002522753086,
705.2409058,-0.0003006391053,705.2409058,-0.002323047025,
704.9898071,-0.0002031055774,704.9898071,-0.001766949077,
704.7387695,0.0003020648437,704.7387695,-0.0008376382175,
704.4876709,0.0003384355514,704.4876709,-0.001792626106,
704.2365112,0.000127973195,704.2365112,-0.001085955417,
703.9854126,-5.099236296E-005,703.9854126,-0.001961499453,
703.7342529,-0.0001359318267,703.7342529,-0.001305226353,
703.4830933,0.000334601471,703.4830933,-0.001876246184,
703.2677612,0.0004315781407,703.2677612,-0.0001897544571,
703.0165405,-0.0001914621826,703.0165405,-0.002009582473,
702.7653198,6.668737478E-005,702.7653198,-0.002095943084,
702.5140381,-0.000706319348,702.5140381,-0.0009549182141,
702.2627563,0.0001918833004,702.2627563,-0.0003468369832,
702.0114746,-0.0003032258828,702.0114746,-0.002065749606,
701.7601929,0.0003738766245,701.7601929,-0.001763236709,
701.5087891,-0.0002289786789,701.5087891,-0.0003186946269,
701.2574463,0.0004821089096,701.2574463,-0.0007424476207,
701.0060425,-0.0002825310803,701.0060425,-0.00106498797,
700.7546387,-0.0004916585167,700.7546387,-0.002286689589,
700.5031738,0.0005936083617,700.5031738,-0.0006003981107,
700.251709,0.0003790323972,700.251709,-0.001291960594,
700.0003052,0.0005897201481,700.0003052,-0.0004632152559,
699.7487793,-0.0004116506025,699.7487793,-0.002275925828,
