blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
696.992981,-0.000540990266,696.992981,0.05457246304,696.992981,0.03235547617,696.992981,0.01627058536,696.992981,0.01044842228,696.992981,0.003219512058,
695.9860229,-0.0001393994462,695.9860229,0.05380010605,695.9860229,0.03250001743,695.9860229,0.01415446308,695.9860229,0.01117648091,695.9860229,0.003961559385,
695.0147705,-0.0005972443614,695.0147705,0.05450575054,695.0147705,0.03073438257,695.0147705,0.01717907563,695.0147705,0.01509251539,695.0147705,0.003324934514,
694.0072632,0.0006319736713,694.0072632,0.05630067363,694.0072632,0.03124772198,694.0072632,0.01385025494,694.0072632,0.01206885651,694.0072632,0.003639032133,
692.9993286,0.0004106160777,692.9993286,0.0586071983,692.9993286,0.03286012635,692.9993286,0.01876304671,692.9993286,0.01594319195,692.9993286,0.005139875226,
691.9911499,0.0002409875597,691.9911499,0.05288723484,691.9911499,0.03387298062,691.9911499,0.01774349995,691.9911499,0.0147163067,691.9911499,0.003571506822,
690.982605,0.0005107974284,690.982605,0.05537409708,690.982605,0.03193654865,690.982605,0.01598468423,690.982605,0.01359991543,690.982605,0.003682496957,
690.0097656,0.000553639431,690.0097656,0.05715292692,690.0097656,0.03240950033,690.0097656,0.0166395884,690.0097656,0.01656460762,690.0097656,0.004431063775,
689.0006104,0.0009064883343,689.0006104,0.05799034983,689.0006104,0.03646037355,689.0006104,0.01646672934,689.0006104,0.01356850658,689.0006104,0.003799652215,
687.9911499,-3.654944885E-005,687.9911499,0.05866728351,687.9911499,0.03243792057,687.9911499,0.01582762785,687.9911499,0.01634081267,687.9911499,0.004811733961,
687.017334,0.0005678432644,687.017334,0.05866337195,687.017334,0.03429767862,687.017334,0.01860625297,687.017334,0.01415205654,687.017334,0.003328012535,
