SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
2022-03-07-00.2,['S1252'],K17,ctrl,O13,1500.0
2022-03-07-00.2,['S1252'],K18,ctrl,O11,167.5
2022-03-07-00.2,['S1252'],K18,ctrl,O12,667.5
2022-03-07-00.2,['S1252'],K18,ctrl,O13,1500.0
2022-03-07-00.2,['S1023'],K2,ctrl,B3,167.5
2022-03-07-00.2,['S1023'],K2,ctrl,B4,667.5
2022-03-07-00.2,['S1023'],K2,ctrl,B5,1500.0
2022-03-07-00.2,['S1040'],K3,ctrl,C19,167.5
2022-03-07-00.2,['S1040'],K3,ctrl,C20,667.5
2022-03-07-00.2,['S1040'],K3,ctrl,C21,1500.0
2022-03-07-00.2,['S1040'],K4,ctrl,C19,167.5
2022-03-07-00.2,['S1040'],K4,ctrl,C20,667.5
2022-03-07-00.2,['S1040'],K4,ctrl,C21,1500.0
2022-03-07-00.2,['S1119'],K5,ctrl,E11,167.5
2022-03-07-00.2,['S1119'],K5,ctrl,E12,667.5
2022-03-07-00.2,['S1119'],K5,ctrl,E13,1500.0
2022-03-07-00.2,['S1119'],K6,ctrl,E11,167.5
2022-03-07-00.2,['S1119'],K6,ctrl,E12,667.5
2022-03-07-00.2,['S1119'],K6,ctrl,E13,1500.0
2022-03-07-00.2,['S1168'],K7,ctrl,G3,167.5
2022-03-07-00.2,['S1168'],K7,ctrl,G4,667.5
2022-03-07-00.2,['S1168'],K7,ctrl,G5,1500.0
2022-03-07-00.2,['S1168'],K8,ctrl,G3,167.5
2022-03-07-00.2,['S1168'],K8,ctrl,G4,667.5
2022-03-07-00.2,['S1168'],K8,ctrl,G5,1500.0
2022-03-07-00.2,['S1196'],K9,ctrl,H19,167.5
2022-03-07-00.2,['S1196'],K9,ctrl,H20,667.5
2022-03-07-00.2,['S1196'],K9,ctrl,H21,1500.0
2022-03-07-00.2,['S1025'],M1,ctrl,B8,167.5
2022-03-07-00.2,['S1025'],M1,ctrl,B9,667.5
2022-03-07-00.2,['S1025'],M1,ctrl,B10,1500.0
2022-03-07-00.2,['S1197'],M10,ctrl,H24,167.5
2022-03-07-00.2,['S1197'],M10,ctrl,I1,667.5
2022-03-07-00.2,['S1197'],M10,ctrl,I2,1500.0
2022-03-07-00.2,['S1209'],M11,ctrl,J16,167.5
2022-03-07-00.2,['S1209'],M11,ctrl,J17,667.5
2022-03-07-00.2,['S1209'],M11,ctrl,J18,1500.0
2022-03-07-00.2,['S1209'],M12,ctrl,J16,167.5
2022-03-07-00.2,['S1209'],M12,ctrl,J17,667.5
2022-03-07-00.2,['S1209'],M12,ctrl,J18,1500.0
2022-03-07-00.2,['S1223'],M13,ctrl,L8,167.5
2022-03-07-00.2,['S1223'],M13,ctrl,L9,667.5
2022-03-07-00.2,['S1223'],M13,ctrl,L10,1500.0
2022-03-07-00.2,['S1223'],M14,ctrl,L8,167.5
2022-03-07-00.2,['S1223'],M14,ctrl,L9,667.5
2022-03-07-00.2,['S1223'],M14,ctrl,L10,1500.0
2022-03-07-00.2,['S1235'],M15,ctrl,M24,167.5
2022-03-07-00.2,['S1235'],M15,ctrl,N1,667.5
2022-03-07-00.2,['S1235'],M15,ctrl,N2,1500.0
2022-03-07-00.2,['S1235'],M16,ctrl,M24,167.5
2022-03-07-00.2,['S1235'],M16,ctrl,N1,667.5
2022-03-07-00.2,['S1235'],M16,ctrl,N2,1500.0
2022-03-07-00.2,['S1255'],M17,ctrl,O16,167.5
2022-03-07-00.2,['S1255'],M17,ctrl,O17,667.5
2022-03-07-00.2,['S1255'],M17,ctrl,O18,1500.0
2022-03-07-00.2,['S1255'],M18,ctrl,O16,167.5
2022-03-07-00.2,['S1255'],M18,ctrl,O17,667.5
2022-03-07-00.2,['S1255'],M18,ctrl,O18,1500.0
2022-03-07-00.2,['S1025'],M2,ctrl,B8,167.5
2022-03-07-00.2,['S1025'],M2,ctrl,B9,667.5
2022-03-07-00.2,['S1025'],M2,ctrl,B10,1500.0
2022-03-07-00.2,['S1042'],M3,ctrl,C24,167.5
2022-03-07-00.2,['S1042'],M3,ctrl,D1,667.5
2022-03-07-00.2,['S1042'],M3,ctrl,D2,1500.0
2022-03-07-00.2,['S1042'],M4,ctrl,C24,167.5
2022-03-07-00.2,['S1042'],M4,ctrl,D1,667.5
2022-03-07-00.2,['S1042'],M4,ctrl,D2,1500.0
2022-03-07-00.2,['S1120'],M5,ctrl,E16,167.5
2022-03-07-00.2,['S1120'],M5,ctrl,E17,667.5
2022-03-07-00.2,['S1120'],M5,ctrl,E18,1500.0
2022-03-07-00.2,['S1120'],M6,ctrl,E16,167.5
2022-03-07-00.2,['S1120'],M6,ctrl,E17,667.5
2022-03-07-00.2,['S1120'],M6,ctrl,E18,1500.0
2022-03-07-00.2,['S1178'],M7,ctrl,G8,167.5
2022-03-07-00.2,['S1178'],M7,ctrl,G9,667.5
2022-03-07-00.2,['S1178'],M7,ctrl,G10,1500.0
2022-03-07-00.2,['S1178'],M8,ctrl,G8,167.5
2022-03-07-00.2,['S1178'],M8,ctrl,G9,667.5
2022-03-07-00.2,['S1178'],M8,ctrl,G10,1500.0
2022-03-07-00.2,['S1197'],M9,ctrl,H24,167.5
2022-03-07-00.2,['S1197'],M9,ctrl,I1,667.5
2022-03-07-00.2,['S1197'],M9,ctrl,I2,1500.0
2022-03-07-00.2,['S1026'],O1,ctrl,B13,167.5
2022-03-07-00.2,['S1026'],O1,ctrl,B14,667.5
2022-03-07-00.2,['S1026'],O1,ctrl,B15,1500.0
2022-03-07-00.2,['S1198'],O10,ctrl,I5,167.5
2022-03-07-00.2,['S1198'],O10,ctrl,I6,667.5
2022-03-07-00.2,['S1198'],O10,ctrl,I7,1500.0
2022-03-07-00.2,['S1210'],O11,ctrl,J21,167.5
2022-03-07-00.2,['S1210'],O11,ctrl,J22,667.5
2022-03-07-00.2,['S1210'],O11,ctrl,J23,1500.0
2022-03-07-00.2,['S1210'],O12,ctrl,J21,167.5
2022-03-07-00.2,['S1210'],O12,ctrl,J22,667.5
2022-03-07-00.2,['S1210'],O12,ctrl,J23,1500.0
2022-03-07-00.2,['S1224'],O13,ctrl,L13,167.5
2022-03-07-00.2,['S1224'],O13,ctrl,L14,667.5
2022-03-07-00.2,['S1224'],O13,ctrl,L15,1500.0
2022-03-07-00.2,['S1224'],O14,ctrl,L13,167.5
2022-03-07-00.2,['S1224'],O14,ctrl,L14,667.5
